Case,Loation,Date,Summary,Fatalities,Injured,Victims,Location,Age,prior_signs_mental_health_issues,weapons_obtained_legally,weapon_type,Race,Gender,Latitude,Longitude,Type,Year,Percentage
Sacramento County church shooting,"Sacramento, California",28/02/2022,"""A man believed to be meeting his three children for a supervised visit at a church just outside Sacramento on Monday afternoon fatally shot the children and an adult accompanying them before killing himself, police officials said. Sheriff Scott Jones of Sacramento County told reporters at the scene that the gunman had a restraining order against him, and that he had to have supervised visits with his children, who were younger than 15."" (NYTimes)",4,0,4,Religious,0,Unclear,Unknown,Unknown,Unknown,Male,38.60111019,-121.4189659,Mass,2022,0.793650794
Oxford High School shooting,"Oxford, Michigan",30/11/2021,"Ethan Crumbley, a 15-year-old student at Oxford High School, opened fire with a Sig Sauer 9mm pistol purchased four days earlier by his father, and was apprehended by police shortly thereafter. Prosecutors filed charges against Crumbley for terrorism and first-degree murder.",4,7,11,School,15,Unclear,Unknown,semiautomatic handgun,Unknown,Male,42.84410784,-83.25992831,Mass,2021,0.793650794
San Jose VTA shooting,"San Jose, California",26/05/2021,"Samuel Cassidy, 57, a Valley Transportation Authorty employee, opened fire at a union meeting at the light rail facility, soon also fatally shooting himself at the scene. Before the attack, Cassidy had set fire to his own house, where he also had firearms and a stockpile of ammunition. His legal history included his ex-wife filing a restraining order against him in 2009.",9,0,9,Workplace,57,Yes,Unknown,semiautomatic handguns,Unknown,Male,37.316097,-121.888533,Mass,2021,0.793650794
FedEx warehouse shooting,"Indianapolis, Indiana",15/04/2021,"Brandon Scott Hole, 19, opened fire around 11 p.m. in the parking lot and inside the warehouse, and then shot himself fatally as police responded to the scene.",8,7,15,Workplace,19,Yes,Yes,semiautomatic rifle,White,Male,39.68663,-86.32313,Mass,2021,0.793650794
Orange office complex shooting,"Orange, California",31/03/2021,"Aminadab Gaxiola Gonzalez, 44, allegedly opened fire inside a small business at an office complex, killing at least four victims, including a nine-year-old boy, before being wounded in a confrontation with police and taken into custody. According to law enforcement officials, Gonzalez had chained the front and rear gates to the complex with bicycle cable locks to hinder police response.",4,1,5,Workplace,0,Unclear,Unknown,semiautomatic handgun,Unknown,Male,33.83542,-117.85379,Mass,2021,0.793650794
Boulder supermarket shooting,"Boulder, Colorado",22/03/2021,"Ahmad Al Aliwi Alissa, 21, carried out a mass shooting at a King Soopers that left 10 victims dead, including veteran police officer Eric Talley, who was the first officer to respond on the scene. Alissa was wounded by police and taken into custody.",10,0,10,Workplace,21,Yes,Yes,"semiautomatic rifle, semiautomatic handgun; tactical vest",Unknown,Male,39.986961,-105.251168,Mass,2021,0.793650794
Atlanta massage parlor shootings,"Atlanta, Georgia",16/03/2021,"Robert Aaron Long, 21, killed eight people at three massage parlors. An additional victim was injured. Six of the deceased victims were women of Asian descent. According to law enforcement officials, Long, who is white, made claims in custody about having sexual addiction issues, and had frequented the massage parlors. He also spoke of intent to attack additional locations in Florida.",8,1,9,Workplace,21,Unclear,Unknown,Unknown,White,Male,34.111653,-84.580376,Spree,2021,0.793650794
Springfield convenience store shooting,"Springfield, Missouri",16/03/2020,"Joaquin S. Roman, 31, went on a rampage culminating at a Kum & Go, killing four people, including a police officer, before fatally shooting himself on the scene.",4,0,4,Workplace,31,Unclear,Unknown,Unknown,Unknown,Male,37.210432,-93.23686,Mass,2020,0.793650794
Molson Coors shooting,"Milwaukee, Wisconsin",26/02/2020,"Anthony Ferrill, 51, an employee armed with two handguns, including one with a silencer, opened fire on the Milwaukee campus of the beer company, killing five people and then committing suicide. According to the Milwaukee Journal Sentinel, Ferrill ""had been involved in a long-running dispute with a co-worker that boiled over"" in the run-up to the attack.",5,0,5,Workplace,51,Unclear,Unknown,semiautomatic handgun,Black,Male,43.044511,-87.962537,Mass,2020,0.793650794
Jersey City kosher market shooting,"Jersey City, New Jersey",10/12/2019,"David N. Anderson, 47, and Francine Graham, 50, were heavily armed and traveling in a white van when they first killed a police officer in a cemetery, and then opened fire at a kosher market, “fueled both by anti-Semitism and anti-law enforcement beliefs,” according to New Jersey authorities. The pair, linked to the antisemitic ideology of the Black Hebrew Israelites extremist group, were killed after a lenghty gun battle with police at the market.",4,3,7,Other,100,Unclear,Unknown,Unknown,Black,Male & Female,40.707363,-74.083609,Spree,2019,0.793650794
Pensacola Naval base shooting,"Pensacola, Florida",6/12/2019,"Ahmed Mohammed al-Shamrani, A Saudi Arabian military pilot training in the United States, opened fire just before 7 a.m. in an air station classroom. He was soon shot and killed by responding Florida sheriff’s deputies.",3,8,11,Military,0,Unclear,Unknown,semiautomatic handgun,Unknown,Male,30.364707,-87.288567,Mass,2019,0.793650794
Odessa-Midland shooting spree,"Odessa, Texas",31/08/2019,"Seth A. Ator, 36, fired at police officers who stopped him for a traffic violation, and then went on a driving rampage in the Odessa-Midland region, where he also shot a postal worker and stole her vehicle. He was shot dead by law enforcement responding to the rampage. Ator had been fired from a job just prior to the attack (though per the FBI he had shown up to that job ""already enraged""). He had a criminal record and ""a long history of mental problems and making racist comments,"" according to a family friend who spoke to the media.",7,25,32,Other,36,Yes,Unknown,semiautomatic rifle,White,Male,31.925974,-102.2796,Spree,2019,0.793650794
Dayton entertainment district shooting,"Dayton, Ohio",4/08/2019,"Connor Betts, 24, died during the attack, following a swift police response. He wore tactical gear including body armor and hearing protection, and had an ammunition device capable of holding 100 rounds. Betts had a history of threatening behavior dating back to high school, including reportedly having hit lists targeting classmates for rape and murder.",9,27,36,Other,24,Unclear,Yes,semiautomatic rifle,White,Male,39.757312,-84.184947,Mass,2019,0.793650794
El Paso Walmart mass shooting,"El Paso, Texas",3/08/2019,"Patrick Crusius, 21, who was apprehended by police, posted a so-called manifesto online shortly before the attack espousing ideas of violent white nationalism and hatred of immigrants. ""This attack is a response to the Hispanic invasion of Texas,"" he allegedly wrote in the document.",22,26,48,Workplace,21,Unclear,Yes,semiautomatic rifle,White,Male,31.771068,-106.375655,Mass,2019,0.793650794
Gilroy garlic festival shooting,"Gilroy, California",28/07/2019,"Santino William LeGan, 19, fired indiscriminately into the crowd near a concert stage at the festival. He used an AK-47-style rifle, purchased legally in Nevada three weeks earlier. After apparently pausing to reload, he fired additional multiple rounds before police shot him and then he killed himself. A witness described overhearing someone shout at LeGan, ""Why are you doing this?"" LeGan, who wore camouflage and tactical gear, replied: “Because I'm really angry."" The murdered victims included a 13-year-old girl, a man in his 20s, and six-year-old Stephen Romero.",3,12,15,Other,19,TBD,Yes,semiautomatic rifle,Unknown,Male,36.997191,-121.584819,Mass,2019,0.793650794
Virginia Beach municipal building shooting,"Virginia Beach, Virginia",31/05/2019,"DeWayne Craddock, 40, a municipal city worker wielding handguns, a suppressor and high-capacity magazines, killed en masse inside a Virginia Beach muncipal building late in the day on a Friday, before dying in a prolonged gun battle with police. Craddock reportedly had submitted his resignation from his job that morning. He was a veteran of the Virginia Army National Guard, and ""had a shaved head, bodybuilder’s physique and cameras in the windows of his house on a peaceful cul-de-sac,"" according to the Washington Post.",12,4,16,Workplace,40,TBD,Yes,2 handguns,Black,Male,36.75442,-76.060378,Mass,2019,0.793650794
Harry Pratt Co. warehouse shooting,"Aurora, Illinois",15/02/2019,"Gary Martin, 45, went on a rampage inside the warehouse in response to being fired from his job and died soon thereafter in a shootout with police. Among his victims were five dead coworkers and five injured police officers. Martin had a felony record and lengthy history of domestic violence; he was able to obtain a gun despite having had his Illinois firearms ownership identification card revoked. According to a report from prosecutors, Martin told a co-worker the morning of the shooting that if he was fired he was going to kill employees and police.",5,6,11,Workplace,45,Yes,No,handgun,Black,Male,41.753725,-88.331057,Mass,2019,0.793650794
Pennsylvania hotel bar shooting,"State College, Pennsylvania",24/01/2019,"Jordan Witmer, 21, shot three people at a Ramada Hotel bar near Penn State University, including a former girlfriend he was there with. He then fled the bar, crashed his car about a mile away, and stormed into a random house, fatally shooting an elderly resident and then himself. Witmer, who had a legal carry permit for his handgun, had just finished a three-year stint in the US Army; ten days prior to the attack he had been convicted on drunk driving-related charges in Kentucky, where he'd been stationed. ",3,1,4,Other,21,Unclear,Yes,handgun,White,Male,40.785142,-77.839411,Spree,2019,0.793650794
SunTrust bank shooting,"Sebring, Florida",23/01/2019,"Zephen A. Xaver, 21, fatally shot five women inside a bank and then called the police to confess. He was armed with a handgun and wore a bulletproof vest. He reportedly ordered the women to lie down on the floor and shot them execution-style. After a standoff with police, he surrendered and was taken into custody. A week prior, Xaver had quit a job as a prison guard trainee, and authorities said they believed the shooting was ""a random act"" and that roberry did not appear to be a motive. An ex-girlfriend in Indiana told local media she'd been “scared for years” by Xaver’s talk of violence and death, but that her warnings to others (who she did not identify) were not taken seriously. She said she’d first met Xaver in a psychiatric hospital in 2013. In March 2017, Michigan State Police documented an incident in which Xaver indicated he was “possibly thinking of suicide by cop and taking hostages.""",5,0,5,Workplace,21,Yes,Yes,handgun,White,Male,27.471043,-81.45847,Mass,2019,0.793650794
Mercy Hospital shooting,"Chicago, Illinois",19/11/2018,"Juan Lopez, 32, confronted his former fiancé, ER doctor Tamara O'Neal, before shooting her and opening fire on others at the hospital, including a responding police officer, Samuel Jimenez, and a pharmacy employee, Dayna Less. Lopez was fatally shot by a responding SWAT officer. Lopez had a history of domestic abuse against an ex-wife, and was kicked out of a fire department training academy for misconduct against female cadets.",3,0,3,Workplace,32,Unclear,Unknown,semiautomatic handgun,Latino,Male,41.847667,-87.622009,Mass,2018,0.793650794
Thousand Oaks nightclub shooting,"Thousand Oaks, California",7/11/2018,"Ian David Long, 28, dressed in black and armed with a handgun and a “smoke device,” approached the Borderline Bar & Grill — a country music venue popular with college students — close to midnight and opened fire, killing a security guard and then others in the club, including a sheriff’s deputy responding to the attack. Long was found dead at the scene from apparent suicide. He was a former Marine and had a history of interactions with local law enforcement, including a mental health evaluation in which he’d been cleared.",12,22,34,Other,28,Yes,Yes,semiautomatic handgun,Unknown,Male,34.176946,-118.874793,Mass,2018,0.793650794
Tree of Life synagogue shooting,"Pittsburgh, Pennsylvania",27/10/2018,"Robert D. Bowers, 46, shouted anti-Semitic slurs as he opened fire inside the Tree of Life synagogue during Saturday morning worship. He was armed with an assault rifle and multiple handguns and was apprehended after a standoff with police. His social media accounts contained virulent anti-Semitic content, and references to migrant caravan ""invaders"" hyped by President Trump and the Republican party ahead of the 2018 midterms elections.",11,6,17,Religious,46,Unclear,Yes,semiautomatic rifle; semiautomatic handguns,White,Male,40.443898,-79.921398,Mass,2018,0.793650794
Rite Aid warehouse shooting,"Perryman, Maryland",20/09/2018,"Snochia Moseley, 26, reportedly a disgruntled employee, shot her victims outside the building and on the warehouse floor; she later died from a self-inflicted gunshot at a nearby hospital. (No law enforcement officers responding to her attack fired shots.)",3,3,6,Workplace,26,Unclear,Yes,semiautomatic handgun,Black,Female,39.455658,-76.208485,Mass,2018,0.793650794
T&T Trucking shooting,"Bakersfield, California",12/09/2018,"Javier Casarez, 54, who was going through a bitter divorce, went on a shooting spree targeting his ex-wife and former coworkers at the trucking company. His attack included fatally shooting one victim who he pursued to a nearby sporting goods retailer, and two others at a private residence. After then carjacking a woman who was driving with a child (and letting the two go), Casarez fatally shot himself as law enforcement officials closed in on him.",5,0,5,Workplace,54,Unclear,Yes,handgun,Latino,Male,35.349388,-118.916335,Spree,2018,0.793650794
Fifth Third Center shooting,"Cincinnati, Ohio",6/09/2018,"Omar Enrique Santa Perez, 29, walked into the ground-floor lobby of a building in downtown Cincinnati shortly after 9 a.m. and opened fire. Within minutes, Perez was fatally wounded in a shootout with law enforcement officers responding to the scene.",3,2,5,Workplace,29,Yes,Yes,semiautomatic handgun,Latino,Male,39.101981,-84.511782,Mass,2018,0.793650794
Capital Gazette shooting,"Annapolis, Maryland",28/06/2018,"Jarrod W. Ramos, 38, shot through the glass doors of the paper’s newsroom around 3pm to carry out his attack; police quickly responding to the scene found him hiding under a desk and apprehended him. Ramos had harbored a longstanding grudge against the paper over a 2011 column that had detailed his guilty plea for the harassment of a former female classmate. Ramos had sued the paper for defamation and lost.",5,2,7,Workplace,38,Unclear,Yes,shotgun,White,Male,38.994548,-76.543657,Mass,2018,0.793650794
Santa Fe High School shooting,"Santa Fe, Texas",18/05/2018,"Dimitrios Pagourtzis, a 17-year-old student, opened fire at Santa Fe High School with a shotgun and .38 revolver owned by his father; Pagourtzis killed 10 and injured at least 13 others before surrendering to authorities after a standoff and additional gunfire inside the school. (Pagourtzis reportedly had intended to commit suicide.) Investigators also found undetonated explosive devices in the vicinity. (FURTHER DETAILS PENDING.)",10,13,23,School,17,Unclear,TBD,shotgun; .38 revolver,White,Male,29.392825,-95.141972,Mass,2018,0.793650794
Waffle House shooting,"Nashville, Tennessee",22/04/2018,"Travis Reinking, 29, opened fire around 3:30 a.m. in the parking lot of a Waffle House in Antioch, and continued shooting as he entered the restaurant. As he attempted to reload his AR-15, a bystander heroically wrestled the rifle away from Reinking, who then fled; he was captured by authorities the following day. Reinking had a history of erratic behavior and run-ins with law enforcement in his home state of Illinois, including claims that he was being stalked and harassed by pop star Taylor Swift. In July 2017, he was arrested at the White House after breaching security in an effort to speak with President Trump, reportedly claiming his right to do so as “a sovereign citizen.” ",4,4,8,Other,29,Yes,Yes,semiautomatic rifle,White,Male,36.052521,-86.616944,Mass,2018,0.793650794
Yountville veterans home shooting,"Yountville, California",9/03/2018,"Army veteran Albert Cheung Wong, 36, stormed a veterans home where he was previously under care, exchanging gunfire with a sheriff’s deputy and taking three women hostage, one of whom he’d previously threatened. After a standoff with law enforcement, he killed the three women and himself.",3,0,3,Workplace,36,Yes,Yes,semiautomatic rifle; shotgun,Asian,Male,38.392496,-122.366528,Mass,2018,0.793650794
Marjory Stoneman Douglas High School shooting,"Parkland, Florida",14/02/2018,"Nikolas J. Cruz, 19, heavily armed with an AR-15, tactical gear, and “countless magazines” of ammo, according to the Broward County Sheriff, attacked the high school as classes were ending for the day, killing at least 17 people and injuring many others. He was apprehended by authorities shortly after fleeing the campus.",17,17,34,School,19,Yes,Yes,semiautomatic rifle,White,Male,26.30483,-80.269511,Mass,2018,0.793650794
Pennsylvania carwash shooting,"Melcroft, Pennsylvania",28/01/2018,"Timothy O'Brien Smith, 28, wearing body armor and well-stocked with ammo, opened fire at a carwash early in the morning in this rural community, killing four people. A fifth victim, though not shot, suffered minor injuries. One of the deceased victims, 25-year-old Chelsie Cline, had been romantically involved with Smith and had broken off the relationship recently, according to her sister. Smith shot himself in the head and died later that night at the hospital.",4,1,5,Other,28,TBD,TBD,semiautomatic rifle and semiautomatic handgun,White,Male,40.052151,-79.389166,Mass,2018,0.793650794
Rancho Tehama shooting spree,"Rancho Tehama, California",14/11/2017,"Kevin Janson Neal, 44, went on an approximately 45-minute shooting spree in the rural community of Rancho Tehama Reserve in Northern California, including shooting up an elementary school, before being killed by law enforcement officers. Neal had also killed his wife at home.",5,10,15,Other,44,TBD,No,semiautomatic rifles,White,Male,40.018759,-122.393089,Spree,2017,0.793650794
Texas First Baptist Church massacre,"Sutherland Springs, Texas",5/11/2017,"Devin Patrick Kelley, a 26-year-old ex-US Air Force airman, opened fire at the First Baptist Church in Sutherland Springs during Sunday morning services, killing at least 26 people and wounding and injuring 20 others. He left the church and fled in his vehicle after engaging in a gunfight with a local citizen; he soon crashed his vehicle and died from a self-inflicted gunshot wound.",26,20,46,Religious,26,Yes,Yes,semiautomatic rifle,White,Male,29.273282,-98.056488,Mass,2017,0.793650794
Walmart shooting in suburban Denver,"Thornton, Colorado",1/11/2017,"Scott Allen Ostrem, 47, walked into a Walmart in a suburb north of Denver and fatally shot two men and a woman, then left the store and drove away. After an all-night manhunt, Ostrem, who had financial problems but no serious criminal history, was captured by police after being spotted near his apartment in Denver.",3,0,3,Other,47,Unclear,TBD,semiautomatic handgun,White,Male,39.876374,-104.986132,Mass,2017,0.793650794
Edgewood businees park shooting,"Edgewood, Maryland",18/10/2017,"Radee Labeeb Prince, 37, fatally shot three people and wounded two others around 9am at Advance Granite Solutions, a home remodeling business where he worked near Baltimore. Hours later he shot and wounded a sixth person at a car dealership in Wilmington, Delaware. He was apprehended that evening following a manhunt by authorities.",3,3,6,Workplace,37,Unclear,No,handgun,Black,Male,39.452189,-76.309988,Mass,2017,0.793650794
Las Vegas Strip massacre,"Las Vegas, Nevada",1/10/2017,"Stephen Craig Paddock, 64, fired a barrage of rapid gunfire—using semiautomatic rifles modified with ""bump stocks""—at thousands of concertgoers on the Las Vegas Strip late on a Sunday night; Paddock had positioned himself in a corner suite on the 32nd floor of the Mandalay Bay Resort and Casino, where he took aim from windows he'd smashed open. Police responding to the attack found Paddock inside the hotel suite, deceased from a self-inflicted gunshot.",58,546,604,Other,64,TBD,Yes,"23 firearms, mostly rifles; including scopes, and two modified for ""fully automatic"" firing; two were mounted on tripods",White,Male,36.095739,-115.171544,Mass,2017,0.793650794
San Francisco UPS shooting,"San Francisco, California",14/06/2017,"Jimmy Lam, 38, fatally shot three coworkers and wounded two others inside a UPS facility in San Francisco. Lam killed himself as law enforcement officers responded to the scene.",3,2,5,Workplace,38,Yes,No,two handguns,Asian,Male,37.765947,-122.406087,Mass,2017,0.793650794
Pennsylvania supermarket shooting,"Tunkhannock, Pennsylvania",7/06/2017,"Randy Stair, a 24-year-old worker at Weis grocery fatally shot three of his fellow employees. He reportedly fired 59 rounds with a pair of shotguns before turning the gun on himself as another co-worker fled the scene for help and law enforcement responded.",3,0,3,Workplace,24,Unclear,TBD,shotguns,White,Male,41.529546,-75.94722,Mass,2017,0.793650794
Florida awning manufacturer shooting,"Orlando, Florida",5/06/2017,"John Robert Neumann, Jr., 45, a former employee of manufacturer Fiamma Inc. fatally shot five workers at the company, and then killed himself on the scene. He'd been fired from the company in April. The attack took place a week before the one-year anniversary of the Orlando nightclub massacre.",5,0,5,Workplace,45,Unclear,TBD,semiautomatic handgun,Unknown,Male,28.580295,-81.294086,Mass,2017,0.793650794
Rural Ohio nursing home shooting,"Kirkersville, Ohio",12/05/2017,"Thomas Hartless, 43, shot and killed a former girlfriend and another employee of a nursing home, and fatally shot the Kirkersville police chief responding to the scene. Hartless' former girlfriend had recently obtained a court protection order against Hartless. Investigators later found more than 60 firearms in the home of Hartless, who was found dead at the scene of the attack, having turned his gun on himself, according to local authorities.",3,0,3,Workplace,43,Yes,TBD,"handgun, shotgun",White,Male,39.959034,-82.596508,Mass,2017,0.793650794
Fresno downtown shooting,"Fresno, California",18/04/2017,"Kori Ali Muhammad, 39, opened fire along a street in downtown Fresno, killing three people randomly in an alleged hate crime prior to being apprehended by police. Muhammad, who is black, killed three white victims and later described his attack as being racially motivated; he also reportedly yelled 'Allahu Akbar' at the time he was arrested, but authorities indicated they found no links to Islamist terrorism.",3,0,3,Other,39,Unclear,Unknown,handgun,Black,Male,36.746378,-119.800319,Mass,2017,0.793650794
Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",6/01/2017,"Esteban Santiago, 26, flew from Alaska to Fort Lauderdale, where he opened fire in the baggage claim area of the airport, killing five and wounding six before police aprehended him. (Numerous other people were reportedly injured while fleeing during the panic.)",5,6,11,Airport,26,Yes,Yes,"semiautomatic handgun
",Latino,Male,26.072751,-80.143382,Mass,2017,0.793650794
Cascade Mall shooting,"Burlington, Washington",23/09/2016,"Arcan Cetin, 20, killed a teen girl and three women in the cosmetics section of a Macy’s department store at the Cascade Mall. A man was critically wounded in the shooting and taken to Harborview Medical Center in Seattle, where he died. Cetin was apprehended by police a few hours after the shooting while driving a car near his residence. ",5,0,5,Other,20,Yes,TBD,Rifle,Unknown,Male,48.461367,-122.337918,Mass,2016,0.793650794
Baton Rouge police shooting,"Baton Rouge, Lousiana",17/07/2016,"Gavin Long, 29, a former Marine who served in Iraq, killed three police offers responding to a 911 call, and wounded three others. He was killed in a shoot-out with other officers responding to the scene. Prior to the attack, Long posted prolifically on social media, where he expressed admiration for the cop killer in Dallas 10 days prior.",3,3,6,Other,29,Yes,Unknown,Two semiautomatic rifles; one semiautomatic handgun,Black,Male,30.433601,-91.081403,Spree,2016,0.793650794
Dallas police shooting,"Dallas, Texas",7/07/2016,"Micah Xavier Johnson, a 25-year-old Army veteran, targeted police at a peaceful Black Lives Matter protest, killing five officers and injuring nine others as well as two civilians. After a prolonged standoff in a downtown building, law enforcement killed Johnson using a robot-delivered bomb.",5,11,16,Other,25,Unclear,Yes,"Semiautomatic rifle, semiautomatic handguns",Black,Male,32.7801052,-96.8000082,Mass,2016,0.793650794
Orlando nightclub massacre,"Orlando, Florida",12/06/2016,"Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.",49,53,102,Other,29,Unclear,Yes,"Semiautomatic rifle, semiautomatic handgun",Other,Male,28.519718,-81.376777,Mass,2016,0.793650794
Excel Industries mass shooting,"Hesston, Kansas",25/02/2016,"Cedric L. Ford, who worked as a painter at a manufacturing company, shot victims from his car and at his workplace before being killed by police at the scene. Shortly before the rampage he had been served with a restraining order.",3,14,17,Workplace,38,Unclear,Yes,"Semiautomatic rifle, semiautomatic handgun",Black,Male,38.135992,-97.425145,Mass,2016,0.793650794
Kalamazoo shooting spree,"Kalamazoo County, Michigan",20/02/2016,"Jason B. Dalton, a driver for Uber, apparently selected his victims randomly as he went on a rampage over several hours in three different locations, including five people he shot in the parking lot of a Cracker Barrel restaurant. He was ""arrested without incident"" at a downtown Kalamazoo bar about six hours after the rampage began.",6,2,8,Other,45,Unclear,Yes,Semiautomatic handgun,White,Male,42.236689,-85.674795,Mass,2016,0.793650794
San Bernardino mass shooting,"San Bernardino, California",2/12/2015,"Syed Rizwan Farook left a Christmas party held at Inland Regional Center, later returning with Tashfeen Malik and the two opened fire, killing 14 and wounding 21, ten critically. The two were later killed by police as they fled in an SUV.",14,21,35,Unknown,100,Unclear,Unknown,"Two assault rifles and two semiUnknownautomatic pistols were used in the attack. Police found a remote controlled explosive device at the scene of the crime. At the home were 12 pipe bombs, 2,500 rounds for the ARUnknown15 variants, 2,000 rounds for the pistols, and several hundred for a .22 calibre rifle. In the suspects' car were an additional 1,400 rounds for the rifles and 200 for the handguns.",Other,Male & Female,34.075961,-117.27789,Mass,2015,0.793650794
